TP_ID,TP_Name,MAS_Function,ERD_Source,Description
TP01,Fare Construction,Revenue Management,ATPCO Category Taxonomy; 14 CFR 221,"ATPCO fare filing, rule application, fare basis code assignment. Carrier constructs fares; ATPCO/industry body enforces taxonomy; regulator sets disclosure floor (14 CFR 221). Competing logics: carrier income optimization vs regulatory market transparency obligation."
TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,"RMS bid price → NDC/GDS offer construction → passenger-facing price. Carrier RM agent produces bid price (MNAR boundary); Amadeus/GDS translates to bookable offer (OBSERVED); passenger sees grandTotal. Three actors, three logics: carrier income, vendor market, passenger option."
TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Passenger confirms offer → Order created → EMD issued for ancillaries → Tax and fee obligations triggered. Carrier income recognized; regulator cost imposed; payment time limit option assigned.
TP04,Ancillary Service Charge,Revenue Management,IATA EMD Resolution 725; IATA ONE Order,"Separate performance obligation under IFRS 15. EMD issued for upgrade, change fee, excess baggage. Carrier income; passenger risk (cancellation/change). Competing logics: carrier revenue maximization vs passenger contestability of fee."
TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,"Through-fare split between operating and ticketing carriers via NFP/SIS. Invoice created, disputed, cleared through ICH/BSP. Highest MNAR concentration in corpus. Competing logics: each carrier maximizes proration share; Amadeus/SIS controls the formula."
TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,SSIM schedule published → slot allocated → CDM milestones assigned. Carrier publishes schedule (OBSERVED); airport assigns slot (OBSERVED); crew scheduling ingests as hard constraint. Competing logics: carrier operational preference (TOBT) vs airport capacity management (TSAT).
TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,"ATD deviates from STD → Delay code assigned (AHM730) → IROPs rebooking triggered → Compensation obligation created. Same AIDM variable (delay code) creates different regulatory obligations across jurisdictions: EC 261 (EU), APPR (Canada), none federally (US). Competing logics: carrier risk minimization vs passenger/regulator compensation right."
TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,SGHA activates at departure/arrival → ground handler performs services → invoice raised → liability limit invoked if mishandling. Competing logics: carrier cost minimization (SGHA bilateral rates MNAR) vs handler revenue; minimum wage regulation as external constraint.
TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Passenger initiates payment → PAN enters CDE → carrier fraud model scores → card network authorises (MNAR to carrier). Most MNAR-dense transaction point in corpus. Competing logics: carrier fraud risk minimization vs passenger payment right vs card network fee extraction.
TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Settlement cleared through acquirer → chargeback/dispute if contested → credit note or reject amount issued. Competing logics: carrier income recognition vs passenger chargeback right vs acquirer fee extraction.
TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Points issued at booking (SSP under IFRS 15) → deferred revenue liability created → points redeemed or broken. Competing logics: carrier breakage income optimization (MNAR actuarial) vs passenger expectation of redeemable value.
TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,"Aircraft lands / passenger boards → airport charges assessed → carrier invoiced. Three jurisdictions, three governance regimes: GTAA (unregulated), PANYNJ (signatory/non-signatory differential), LHR (CAA H7 price cap). Competing logics: airport income maximization vs carrier cost minimization vs regulator market price cap."
