Feature_ID,Feature_Name,Formula,Formula_Source,Input_Variables,Input_Source_Documents,Output_Type,MAS_Function,Agent_Node,Jurisdictional_Variant,MNAR_Dependency,Governance_Significance,Computed_Value_YYZ,Computed_Value_EWR,Computed_Value_LHR
FE-01,Landing Charge per ATM,Landing_Charge_per_ATM = Landing_Fee / Aircraft_Movements,ICAO Doc 9562 Airport Economics Manual (2013) Ch.4 §4.65,Landing Fee (CAD/tonne MTOW); Airfield Charge per ATM (LHR); Public Landing Area Charge (EWR),GTAA Aeronautical Fees 2025; Heathrow CoU 2025/26; PANYNJ Schedule of Charges 2024,Cost (Carrier) / Income (Airport),Revenue Management,Airport_Charge_Agent,YES — YYZ unregulated; LHR CAA H7 price cap; EWR signatory/non-signatory differential,NO — all inputs OBSERVED,"Identical ICAO formula, three different regulatory overlays. LHR H7 price cap converts Airport Income to Market-constrained Income. YYZ income is unconstrained. Same formula → different valuation type for airport income variable by jurisdiction.",CAD 13.53/tonne MTOW (GTAA 2025),USD 3.62/1000 lbs (non-signatory rate; PANYNJ 2024),GBP 9.72/ATM (Airfield charge; Heathrow CoU 2025/26)
FE-02,Passenger Service Charge per Pax,PSC_per_Pax = Passenger_Service_Cost_Basis / Passengers,ICAO Doc 9562 Ch.4 §4.73; ICAO Doc 9082 Section II para 5,Airport Improvement Fee (AIF) — Departing; Passenger Facility Charge (PFC — EWR); Airport Charge per Passenger (LHR),GTAA Aeronautical Fees 2025; PANYNJ Schedule 2024; Heathrow CoU 2025/26,Cost (Carrier) / Income (Airport or Regulator),Revenue Management,Airport_Charge_Agent,YES — YYZ: Airport Income; EWR PFC: Regulator Income (FAA-approved); LHR: included in price-capped total,NO — all inputs OBSERVED,"Actor controlling the Income variable shifts by jurisdiction. Same passenger service charge formula: Airport actor at YYZ, Regulator actor at EWR, combined in price cap at LHR. Actor-dependent valuation confirmed across jurisdictions.",CAD 35.00/departing pax (AIF; GTAA 2025),USD 4.50/pax (PFC max; FAA-approved),GBP 32.91/pax (Airport charge; CoU 2025/26)
FE-03,WACC-Adjusted Charge (LHR only),WACC_Charge = (RAB × WACC + Depreciation + OpEx - Non-Aero_Revenue) / Passengers,ICAO Doc 9562 Appendix 3; Heathrow CoU 2025/26 H7 determination,WACC (LHR — 4.01%); K Factor (LHR); H7 Regulatory Period (LHR); CPI Adjustment (LHR),Heathrow CoU 2025/26; CAA H7 final determination 2022,Market (Carrier) / Risk (Airport) — price cap constrains Income to Market,Revenue Management,Airport_Charge_Agent,YES — LHR ONLY. No equivalent WACC regulatory framework at YYZ or EWR.,"NO — WACC, K Factor, H7 period all OBSERVED (CAA published)",The WACC formula is the regulatory governance mechanism that converts Airport Income into Market-constrained Income at LHR. Its absence at YYZ and EWR is the jurisdictional governance gap. Same underlying cost structure → unconstrained Income at YYZ/EWR vs Market-constrained Income at LHR.,N/A — no WACC regulatory framework,N/A — no WACC regulatory framework,WACC = 4.01% (CAA H7 determination)
FE-04,Passenger Yield,Yield = Passenger_Revenue / RPK,"IATA/ICAO standard airline KPI; Barnhart, Cohn, Johnson & Nemhauser (2003) Operations Research",grandTotal; base (price); FarePerMile (DB1B proxy),Amadeus Flight Offers Search API; BTS DB1B (sample),Income (Carrier) — revenue per unit of demand served,Revenue Management,RMS_Agent,YES — EC 261 compensation reduces effective yield on delayed EU routes. No yield floor in US or CA for most delay scenarios.,PARTIAL — grandTotal OBSERVED but RMS bid price algorithm MNAR,Yield is the observable outcome of an MNAR process. The RMS produces the yield but the algorithm is withheld. Yield from DB1B (US) vs StatCan revenue/RPK (CA) vs Icelandair reports (EU) enables jurisdictional comparison of pricing outcomes without accessing the pricing algorithm.,StatCan: Total revenue / Passenger-km (CA aggregate),DB1B: ItinFare / Distance (US sample — Southwest only at PoC scale),Icelandair annual reports: Revenue / RPK (Icelandair 2019-2023)
FE-05,Load Factor,Load_Factor = RPK / ASK = Revenue_Passengers × Distance / Available_Seats × Distance,IATA/ICAO standard KPI; StatCan 23-10-0079-01,numberOfBookableSeats (ASK proxy); Passengers (StatCan); Available seat-kilometres (StatCan),Amadeus Flight Offers Search API; StatCan 23-10-0079-01,Market (capacity utilization signal),Revenue Management,RMS_Agent → Execution_Engine,YES — data granularity varies: CA national aggregate (StatCan); US carrier-level (BTS T-100); EU route-level (Eurostat avia_paoa),NO — load factor formula is fully observable,Load factor is the most observable formula output in the corpus. But it reveals demand patterns without revealing the pricing algorithm that determined how demand was captured. High load factor + high yield = successful income optimization. Data granularity asymmetry across jurisdictions is itself a governance finding: CA has national aggregate only.,StatCan: Load factor available 1981-2026 (CA aggregate),BTS T-100: Carrier-level available (JetBlue specific possible),Icelandair reports: Load factor by year (2019-2023)
FE-06,Revenue per Available Seat-Kilometre (RASK),RASK = Total_Passenger_Revenue / ASK,IATA/ICAO standard KPI; Icelandair annual reports,Total operating revenues (StatCan); Available seat-kilometres (StatCan); grandTotal (Amadeus),StatCan 23-10-0079-01; Icelandair annual reports,Income — revenue efficiency per unit capacity,Revenue Management,RMS_Agent,PARTIAL — formula identical; currency and regulatory environment vary,PARTIAL — revenue numerator OBSERVED at aggregate; route-level MNAR,"RASK integrates both yield and load factor into a single revenue efficiency metric. Comparing RASK across Porter (CA), JetBlue (US), Icelandair (EU) shows whether income optimization intensity differs by jurisdiction. Icelandair RASK available from public annual reports in USD cents/ASK.",StatCan: Revenue / ASK (CA aggregate — not Porter-specific),Not available at PoC scale (DB1B has fares not ASK),Icelandair: 8.7 USD cents/ASK (2023 from annual report)
FE-07,Cost per Available Seat-Kilometre (CASK),CASK = Total_Operating_Expenses / ASK,IATA/ICAO standard KPI; StatCan 23-10-0079-01,Total operating expenses (StatCan); Available seat-kilometres (StatCan),StatCan 23-10-0079-01; Icelandair annual reports,Cost — operating cost per unit capacity,Revenue Management,Crew_Scheduling_Agent → RMS_Agent,"YES — fuel costs, labour regulations, airport charges vary by jurisdiction",PARTIAL — aggregate OBSERVED; carrier-specific MNAR,CASK is the cost-side complement to RASK. RASK - CASK = PASK (profit per ASK). All three are MNAR at carrier-specific level. StatCan provides CA aggregate CASK only. Carrier-level cost structures are the most protected MNAR layer in airline economics.,StatCan: OpEx / ASK (CA aggregate),Not available at PoC scale,Icelandair: Available from annual reports
FE-08,Break-Even Load Factor,BELF = CASK / Yield,Borenstein & Rose (1994) American Economic Review; IATA airline economics,Total operating expenses (StatCan); Total operating revenues (StatCan); Load factor (StatCan),StatCan 23-10-0079-01,Risk — threshold below which carrier makes a loss,Revenue Management,RMS_Agent → Loyalty_Agent,"YES — regulatory cost floors (EC 261 compensation, APPR) raise effective CASK in EU/CA",YES — carrier-specific CASK and Yield both MNAR,"Break-even load factor is the most strategically sensitive formula in airline economics — it determines the carrier's pricing floor. At aggregate (StatCan), it is approximable. At carrier-specific level it is MNAR. Borenstein & Rose (1994) use fare dispersion as a proxy for the pricing strategy that the break-even load factor generates.",StatCan: approx OpEx/Revenue × actual LF (CA aggregate proxy),Not available,Icelandair: approximable from annual reports
FE-09,Fare Dispersion (Gini Coefficient),"Gini = 1 - 2 × ∫[0,1] L(x)dx where L(x) is the Lorenz curve of fares on a route",Borenstein & Rose (1994) American Economic Review; Bilotkach (2011) IJIO,ItinFare (DB1B); grandTotal (Amadeus API),BTS DB1B sample; Amadeus Flight Offers Search API,Market — price discrimination intensity signal,Revenue Management,ATPCO_Filing_Agent → RMS_Agent,YES — EU price transparency regulations may compress dispersion; US has widest fare dispersion (Borenstein & Rose finding holds),PARTIAL — fares OBSERVED at booking; RMS algorithm MNAR,"Fare dispersion is the observable signal of revenue management optimization intensity. Higher Gini = more price discrimination = more active yield management. This is Borenstein & Rose's key finding: dispersion reflects market structure, not just cost variation. Cannot compute for Porter (no DB1B); can compute for JetBlue (US routes) and proxy for Icelandair from published fare ranges.",Not available — Porter not in DB1B at PoC scale,DB1B sample: Gini of ItinFare for JetBlue routes (computable),Proxy from Icelandair published fare ranges
FE-10,Interline Proration Share (NFP proxy),Proration_Share_A = (Sector_A_Distance / Total_Itinerary_Distance) × Total_Fare × NFP_Factor,IATA SIS IS-XML; IATA Interline Checklist; IATA NFP standard,Proration Value; NFP (Neutral Fare Proration); Amount to be Prorated; Settlement Amount,IATA SIS IS-XML; IATA Interline Checklist,Income (Carrier A) / Cost (Carrier B) — actor-dependent,Distribution / GDS,Interline_Settlement_Agent,NO — NFP formula is IATA international standard; same globally. But application is bilateral and MNAR in all jurisdictions.,"YES — Proration Value, NFP, Settlement Amount all MNAR","The most actor-dependent feature in the corpus. Same formula: Income for one carrier, Cost for the other. No jurisdiction requires disclosure of individual proration calculations. The NFP proxy can be computed directionally from DB1B coupon distance data but the actual settlement is MNAR. This is the collusion risk stated as a formula — aligned vendor income (SIS/Amadeus clearing fee) at the expense of both carriers and ultimately the passenger.",Distance proxy: YYZ-EWR segment distance / total itinerary distance × fare,DB1B coupon: MilesFlown per coupon / total MilesFlown × ItinFare,Distance proxy for EWR-KEF segment (Icelandair routes)
FE-11,Delay Compensation Liability,"Compensation = f(Delay_Duration_mins, Route_Distance_km, Jurisdiction)
  EU (EC 261): ≥3h delay → €250 (<1500km), €400 (1500-3500km), €600 (>3500km)
  CA (APPR):   ≥3h → CAD 400; ≥6h → CAD 700; ≥9h → CAD 1000 (large carrier)
  US:          No federal mandatory compensation for delays",EC 261/2004 Art.7; APPR SOR/2019-150 s.19; DOT Part 259,Delay Code (IATA AHM730); Delay Duration (minutes); Scheduled Time of Departure (STD),AIDX v22.1; IATA AHM730,Cost (Carrier) / Option (Passenger) — jurisdiction-dependent magnitude,Disruption Management,Passenger_Recovery_Agent,"YES — direct RQ2 evidence. Same delay code → three different compensation amounts (zero at EWR, CAD 400-1000 at YYZ, €250-600 at LHR).",NO — delay code and duration OBSERVED; compensation formula is regulatory,"This is RQ2 stated as a feature. Identical input variable (Delay Code) produces zero Cost for carrier in US, moderate Cost in CA, highest Cost in EU. The governance gap is the absence of a US federal compensation formula. Computable from AIDX delay data for any observed delay event.",CAD 400 minimum for ≥3h delay attributable to carrier (large carrier),USD 0 — no federal mandatory compensation,€250-600 depending on route distance (EC 261)
FE-12,CDM Slot Compliance Rate,"Slot_Compliance = AOBT_Actual / TSAT_Target (ratio, target=1.0)
Deviation = |AOBT - TSAT| in minutes",EUROCONTROL CDM concept; AIDX v22.1 CDM milestones,TOBT (Target Off-Block Time); TSAT (Target Start Up Approval Time); AOBT (Actual Off-Block Time),AIDX v22.1,Cost/Option — deviation from slot target creates downstream cost cascade,Disruption Management,CDM_Airport_Agent → Aircraft_Recovery_Agent,YES — CDM is a European standard (EUROCONTROL). YYZ has slot coordination but not CDM protocol. EWR uses EDCT (Expected Departure Clearance Time) not CDM.,"NO — TOBT, TSAT, AOBT all OBSERVED",CDM milestones are the most transparent interaction in disruption management. The deviation between carrier-requested TOBT and airport-assigned TSAT reveals the strategic gaming of slot coordination — carriers request earlier TOBTs than operationally needed. This is the Miscoordination risk at TP06→TP07 stated as a formula.,GTAA slot holding fee triggered by deviation (CAD/slot),FAA EDCT compliance (different protocol — not CDM),EUROCONTROL CDM compliance rate (LHR is full CDM airport)
FE-13,Fraud Loss Rate (chargeback proxy),"Fraud_Rate = Disputed_Transactions / Total_Transactions
Chargeback_Cost = Fraud_Rate × Total_Revenue",IMF Note 2026/004; PCI DSS v4.0.1; arXiv:2606.17555,Reject Amount; Dispute Amount; Credit Note Value; Settlement Data (Net Clearance Amount),IATA SIS IS-XML; PCI DSS v4.0.1,Risk (Carrier) / Cost (Carrier) — chargeback is both a risk signal and a realized cost,Fraud / Payment,Payment_Clearance_Agent → Interline_Settlement_Agent,YES — PSD2 (EU) Strong Customer Authentication reduces fraud rate; no equivalent mandate in CA or US at same level,YES — Reject Amount and Dispute Amount MNAR in corpus,Chargeback rate feeds back into fraud scoring threshold — one of the three named feedback loops in the interaction topology. High chargeback rate → tighter fraud scoring → more false positives → legitimate passengers declined. The feedback loop is MNAR: carrier cannot see how the card network adjusts its scoring in response to the carrier's chargeback rate.,CFPB/FCAC complaint data (proxy — not transaction-level),CFPB complaint data by merchant category,EBA complaint data / PSD2 SCA compliance rate
FE-14,Ground Handling Cost per Turn,GH_Cost_per_Turn = (Section_2_Passenger_Fee × Passengers + Baggage_Rate × Bags) / Turns,IATA SGHA 2023 Standard Ground Handling Agreement,Section 2 Passenger Services Fee (SGHA); Baggage Handling Rate (SGHA); Passenger Count (ops),IATA SGHA 2023,Cost (Carrier) / Income (Ground Handler),Workforce Management,Ground_Handler_Agent → Crew_Scheduling_Agent,YES — minimum wage adjustment clause triggers at jurisdiction-specific labour cost floors (Canada Labour Code / FLSA / EU Working Time Directive),YES — SGHA bilateral rates MNAR,Ground handling cost per turn is the key variable linking Workforce Management to Disruption Management. A short turnaround target (from crew scheduling optimization) conflicts with ground handler service delivery time. The conflict happens at MNAR bilateral rates — neither the carrier's optimization algorithm nor the ground handler's actual rates are publicly observable. This is the Conflict risk at TP08→TP06 edge.,MNAR — bilateral GTAA/handler agreement,MNAR — bilateral PANYNJ/handler agreement,MNAR — bilateral Heathrow/Menzies/Swissport agreement
FE-15,Crew Cost per Block Hour,Crew_Cost_BH = (Crew_Salary + Allowances + Training_Cost) / Block_Hours_Flown,"Xu, Wandelt & Sun (2024) Oxford Academic; IAS 19 employee benefits",Flight Number (SSIM); Departure Time / Arrival Time (SSIM); Aircraft Type Code (SSIM),IATA SSIM (public structure),Cost — crew labour cost per unit of operational output,Workforce Management,Crew_Scheduling_Agent,"YES — FAR 117 (US), EU-OPS (EU), Canada Labour Code (CA) all impose different duty/rest limits that affect denominator (block hours)",YES — crew salary and actual scheduling algorithm MNAR,Crew cost per block hour is the core optimization target of the Jeppesen/CAE crew scheduling algorithm. The algorithm is MNAR. The schedule output (SSIM) is OBSERVED. The gap between the OBSERVED schedule and the MNAR optimization objective is the dark zone in workforce governance. Regulatory duty limits (OBSERVED) constrain the denominator without constraining the numerator (salary structure).,Not available — carrier-specific MNAR,Not available — carrier-specific MNAR,Not available — carrier-specific MNAR
